RIME SPACE — FULL SYSTEM MANIFEST (SHA256 of EVERY file, nothing omitted)
Operator: Jesse Daniel Brown.  Generated for full disclosure — no file withheld.
Root: tools/honest-compressor/  (Algorithms-of-Asolaria, branch claude/repo-movement-ifzeru)
====================================================================================================
SHA256                                                                   BYTES  PATH
f366a3c74a405cf523955c0b74d90def95792dec8a2d645636704d01baa67d91          4896  trijection/rime_derive.py
bcdba819cb507496686424e65d2a48009fd5c0074710aecbb55615efc0c2479d          1168  trijection/rime_derive.txt
f7a50c3d99514cf46ac5ee88835d3ced046d79b4007c94bb13c458a3cc270eaf          3779  trijection/rime_dimension.py
945340f5c130d9eb099e4bcea23c93ba94d54adde64e29022028beeebf124b47          4067  trijection/rime_fischer.py
cad84eb4016b3a4a0107964f677ed0711e336cdb6a5bfbbd8b69efbf772831a7          3068  trijection/rime_photo.py
ff00df41d17c02c957883077e94e91666b8280889cbec246f62504c8a6d22ecb          5392  trijection/rime_play_enwik9.py
d5b752991f8046a5ad66414363736648ab7c958629a25eccfd15d6b4d94980d9          1078  trijection/rime_play_enwik9_FULL.txt
0bed340f594b8d491f899b8d9d5346083da2289f1997fa4916ed86ed455ccd08          3209  trijection/rime_run.py
519b39cd1e0ff1879ddbc67b0dcf05c01e99ae4684ae22de63b511755335f7f3          3422  trijection/rime_sphere.py
a509f5dd4cceb34692075414b6f1de7de3d54fea031496b9fe32bd03f3c4758b           925  trijection/rime_stack.py
ecc23b9a431df5dcbe35de4dd81cf0d988d2f520b91c16636e85b02803670a54          3114  trijection/rime_trace.py
6f43249ec10c2aa37884fcf16e89e5bff2b279f27f4fdac3ab1181dbd2c5c6f4          4367  trijection/think_in_time.py
0be92c6815b02da95fb3b6e9a422fb99316e53c977f5f0369a2075a13a9d0630          6493  trijection/think_in_time_2700.log
211249a55152a80da9da04f5fff1decb8d8c0bd61c1ca6ed19a498ad4b8caa0f          3736  trijection/trianti.py
58ded0d950d05339a729280fbcc2b497807eed8183b4f96f551b84a6818c82aa          6308  trijection/trijection.py
b3ad9a69d66f2d2841500f2d04145f15382b305334d7b294f44f13b42ee3c23a          3283  trijection/trime.py
98ac64feb89be6190a3d7894cf434483c5894983a58014d6db8bd218ad922728          5200  trijection/unrhyme.py
a6be3b20afbf37a082edc505841e36c8eaa4666586eabae18ef1c166f3ec92c1          1029  trijection/unrhyme.txt
4b0b8b50b275155fc3437af179821912e22aea1d8769fa5e9d3f58483e8cbc34          1603  trijection/wave_test.py
90bbf18d51c353eecd2478b84cfadc80f9ddc159252f15b906ec2a35a500dc68        171238  trijection/whitepaper/Rime-Space-Whitepaper.pdf
5350578cab08f02caf06a771d3de81c0022710f79db45f69b39e781dcc6d0bec         21203  trijection/whitepaper/rime-space-whitepaper.html
d2decbd7a0286438fcb2bb4ddfcd5e7357d85ec0e802968c96783e68b0f74b97          2237  wrt.py
----------------------------------------------------------------------------------------------------
92 files, 1,335,983 bytes total (excludes only the public corpora below).

PUBLIC BENCHMARK CORPORA (verifiable, not bundled):
These public benchmark corpora are NOT bundled (size), but are fully specified
by SHA256 so any auditor can obtain the identical bytes from http://mattmahoney.net/dc/ :
  enwik8  100,000,000 B  sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
  enwik9  1,000,000,000 B  sha256=159b85351e5f76e60cbe32e04c677847a9ecba3adc79addab6f4c6c7aa3744bc
